Posts,Preprocessed Posts
"Nancy sent me a long text this evening. She told me I could post it for all of you.
  
  Wanted to let you know I am feeling much better. Fluid has lessened around my feet and groin. I had a cath placed into my abdomen to drain it. I am scheduled for lupron next month and hope to be ready for a new chemo regimen the following month. I've been trying to get out of bed more and have been having to drain the ascites daily. I have no pain and am on a pain management plan. Not being used to medication, it makes me really tired. I've had a lot of guests which wears me out too. I am not giving up hope for a new chemo option. Dr S is the one who suggested this route. Please give my best to all and feel free to post my message and ask any questions.
  XOXOXO",nancy sent me a long text this evening she told me i could post it for all of you wanted to let you know i am feeling much better fluid has lessened around my feet and groin i had a cath placed into my abdomen to drain it i am scheduled for lupron next month and hope to be ready for a new chemo regimen the following month ive been trying to get out of bed more and have been having to drain the ascites daily i have no pain and am on a pain management plan not being used to medication it makes me really tired ive had a lot of guests which wears me out too i am not giving up hope for a new chemo option dr s is the one who suggested this route please give my best to all and feel free to post my message and ask any questions xoxoxo
"Today was number 7 of my 12 Taxol maintenance infusions. I took the opportunity to ask my doctor some questions, regarding the protocol for this treatment.
  
  Does anyone ever have a recurrence on consolidated treatment? No
  Then why not just keep giving it? Several reasons for this. It's not considered ""good medicine"" to pump unlimited amounts of poisons into people's bodies forever, especially when at least some of them don't even need the treatment. Of course, no one knows who needs it and who doesn't, meaning who would have a recurrence anyway and who won't.
  Also, it's expensive. The one year of Taxol maintenance costs about $50,000. Insurance companies (and Medicare) are likely to balk at paying out that kind of money, forever, without proof that it's beneficial. And, finally, there would eventually be side effects, even if there was no recurrence of the cancer. The body's bone marrow, for one thing, would eventually be compromised, or even destroyed.
  
  Is this a reduced dose? No, not really. It's almost the same dose I was getting for the initial treatment, or about 155 mg/m2. Weekly Taxol is given in a reduced dose, but not the monthly protocol.
  
  Some doctors don't believe it helps, correct? Correct. And there are no studies that say it will prolong life. I said that I call it chicken soup for cancer, and he laughed, saying that was about right. It won't hurt (most people) and it might help.
  
  I have tolerated the Taxol very well. Would you, I asked, ever consider extending the treatment beyond the 12 infusions? No....when the 12 are finished, I'm done.
  
  Then we just wait and see what happens? Yes...that's all we can do.
  
  He seems to think I will go ""several years"" before I have a recurrence. I hope he's right. No......I hope he's WRONG. I hope I never have a recurrence. That's a lot to ask, I know. Still, I can't help but want the whole thing - a miraculous cure, as we Catholics call it.",today was number 7 of my 12 taxol maintenance infusions i took the opportunity to ask my doctor some questions regarding the protocol for this treatment does anyone ever have a recurrence on consolidated treatment no then why not just keep giving it several reasons for this its not considered good medicine to pump unlimited amounts of poisons into peoples bodies forever especially when at least some of them dont even need the treatment of course no one knows who needs it and who doesnt meaning who would have a recurrence anyway and who wont also its expensive the one year of taxol maintenance costs about 50000 insurance companies and medicare are likely to balk at paying out that kind of money forever without proof that its beneficial and finally there would eventually be side effects even if there was no recurrence of the cancer the bodys bone marrow for one thing would eventually be compromised or even destroyed is this a reduced dose no not really its almost the same dose i was getting for the initial treatment or about 155 mgm2 weekly taxol is given in a reduced dose but not the monthly protocol some doctors dont believe it helps correct correct and there are no studies that say it will prolong life i said that i call it chicken soup for cancer and he laughed saying that was about right it wont hurt most people and it might help i have tolerated the taxol very well would you i asked ever consider extending the treatment beyond the 12 infusions nowhen the 12 are finished im done then we just wait and see what happens yesthats all we can do he seems to think i will go several years before i have a recurrence i hope hes right noi hope hes wrong i hope i never have a recurrence thats a lot to ask i know still i cant help but want the whole thing a miraculous cure as we catholics call it
"10:20am East Coast Time....I arrive to Mom not being able to swallow pills, she has the dry heaves, and she is very nauseaus...extreme pain and inability to even get to bathroom with help......Sister called the organization the doctor signed us into last week (visiting nurses), and until doctor approves it, we cannot be in hospice...so sister calling all around to get hospice....ladies, never use a GP as your primary on these things...ahh my sister just let me know, back up doctor approved hospice...nurse getting pain meds and anti-nauseau for her....hoping she'll be here soon...let's pray Mom will be a little more comfortable...on one hand, she says she's ready to go, in her next breath she says, she doesn't want to die...tears...I am just sitting here as she goes in and out of restless sleep...I am hoping for drugs soon...too bad I can't have any.......no new food products today, thank God as I am putting on weight.....not sure what I can do at this point, except sit here....and be with her...I've heard all kinds of stories about hospice and how old friends who have passed, come and take the person....no one has yet visited Mom....I am hoping someone comes for her soon...someone she liked....wouldn't it be awful if God sent someone she couldn't stand?",1020am east coast timei arrive to mom not being able to swallow pills she has the dry heaves and she is very nauseausextreme pain and inability to even get to bathroom with helpsister called the organization the doctor signed us into last week visiting nurses and until doctor approves it we cannot be in hospiceso sister calling all around to get hospiceladies never use a gp as your primary on these thingsahh my sister just let me know back up doctor approved hospicenurse getting pain meds and antinauseau for herhoping shell be here soonlets pray mom will be a little more comfortableon one hand she says shes ready to go in her next breath she says she doesnt want to dietearsi am just sitting here as she goes in and out of restless sleepi am hoping for drugs soontoo bad i cant have anyno new food products today thank god as i am putting on weightnot sure what i can do at this point except sit hereand be with herive heard all kinds of stories about hospice and how old friends who have passed come and take the personno one has yet visited momi am hoping someone comes for her soonsomeone she likedwouldnt it be awful if god sent someone she couldnt stand
"Very afraid, and alone. Feels like I'm going down hill so fast. Fluid around lungs, not breathing very well, pain prevents me from lying down. Vomiting blood. They say chemo will help my lungs, but now with the blood I'm afraid it's already too late. Husband is having a very hard time with this and so stays away from me in another part of the house (he is also an alcoholic) . My sister is another addict and will be coming soon. I am afraid of a big fight that will devaste us both. We have been very close but she has been the ill one all of our lives (asthma). It's always like a competition of who suffers more, with me ending up agreeing that yes, it IS very hard on HER. So perhaps I am to blame for enabling both of them. I am hurt, angry, afraid and not thinking clearly. HOw have you all dealt with denial of those closest to you?
  
  I have also have had a hard time with doctors--insensitive and maybe delaying treatment. (I presented pleural effusion at the beginning of April and start chemo this Tuesday). I have not been directed toward any support group or resources. So I guess what I would like to hear is that others have ""thought"" themselves into being sicker than they really are to get attention. Which is what I hope I am doing.--and I am really not going to die very very soon.",very afraid and alone feels like im going down hill so fast fluid around lungs not breathing very well pain prevents me from lying down vomiting blood they say chemo will help my lungs but now with the blood im afraid its already too late husband is having a very hard time with this and so stays away from me in another part of the house he is also an alcoholic my sister is another addict and will be coming soon i am afraid of a big fight that will devaste us both we have been very close but she has been the ill one all of our lives asthma its always like a competition of who suffers more with me ending up agreeing that yes it is very hard on her so perhaps i am to blame for enabling both of them i am hurt angry afraid and not thinking clearly how have you all dealt with denial of those closest to you i have also have had a hard time with doctorsinsensitive and maybe delaying treatment i presented pleural effusion at the beginning of april and start chemo this tuesday i have not been directed toward any support group or resources so i guess what i would like to hear is that others have thought themselves into being sicker than they really are to get attention which is what i hope i am doingand i am really not going to die very very soon
"Hi ladies , hope you are all ok.
  
  I am with mum and she is complaining of thrush and mouth ulcers.has anyone else had thrush while on doxil, I asked if her mouth and tongue looked normal she said it she has a whitish film on her tongue , so I am wondering if she has thrush in her mouth, is this common?
  We have got come canestan this morning and some cream for mouth ulcers , so hoping that will clear it up. Any other suggestions welcome. Thanks x Liz x",hi ladies hope you are all ok i am with mum and she is complaining of thrush and mouth ulcershas anyone else had thrush while on doxil i asked if her mouth and tongue looked normal she said it she has a whitish film on her tongue so i am wondering if she has thrush in her mouth is this common we have got come canestan this morning and some cream for mouth ulcers so hoping that will clear it up any other suggestions welcome thanks x liz x
"My sister has informed me that things are fine....Mom isn't going anywhere any time soon...The hepparin is just to help the swelling and she had a great night....and day yesterday.....her nausea is under control as well.......MY VIEW: I arrived this morning to a nauseaous and paned mother who was told this am by her MD that there are no more new chemos to try.....she was crying because she can read between the lines....she wanted zofran for her nauseau and tramdol for her pain.....she talked about how she knew she would not make Olivia's high school graduation, but she had purchased her a present......she is belching deep burps and seems to be in constant pain....,,My response to my sister: I asked her if she was going to be able to use all 76 eggs that she purchased this week for omeletes for my mother, she got irritated at me and said I could use some if i wanted...so I took her son, my 11 year old nephew Jack, around the neighborhood and taught him how to egg a house....unfortunately I failed to remember that we need to do this at night....we were apprehended by the local cops (this is a small town) when I called to let her know, I told her that we weren't doing anything wrong, that we were celebrating Easter, and were at a costume party at the courthouse and she was invited....two can play this game....in regards to Froggy Handkerchiefs, my mother thought they looked more like iguanas and didn't want to use them as she has a phobia of reptiles....",my sister has informed me that things are finemom isnt going anywhere any time soonthe hepparin is just to help the swelling and she had a great nightand day yesterdayher nausea is under control as wellmy view i arrived this morning to a nauseaous and paned mother who was told this am by her md that there are no more new chemos to tryshe was crying because she can read between the linesshe wanted zofran for her nauseau and tramdol for her painshe talked about how she knew she would not make olivias high school graduation but she had purchased her a presentshe is belching deep burps and seems to be in constant painmy response to my sister i asked her if she was going to be able to use all 76 eggs that she purchased this week for omeletes for my mother she got irritated at me and said i could use some if i wantedso i took her son my 11 year old nephew jack around the neighborhood and taught him how to egg a houseunfortunately i failed to remember that we need to do this at nightwe were apprehended by the local cops this is a small town when i called to let her know i told her that we werent doing anything wrong that we were celebrating easter and were at a costume party at the courthouse and she was invitedtwo can play this gamein regards to froggy handkerchiefs my mother thought they looked more like iguanas and didnt want to use them as she has a phobia of reptiles
"Nancy called me this morning. She is still in the hospital - the main hospital of Memorial Sloan-Kettering on York Ave - and the ascites is building up at an alarming rate. They are draining 3-4 liters off every day.
  
  One of her doctors offered to refer her to the palliative care team. He said she is not well enough for chemo, nor does he believe she will be well enough in the foreseeable future. She wants to talk with Dr Sabbantini before she makes a decision.
  
  Nancy told me to paraphrase our conversation and post the gist of it for everyone. She appreciates all your prayers and good wishes. She asked me how everyone was, what was going on with Linda and Leesa and several others. She's just so weak and under the influence, as they say, because of the heavy drugs they were giving her. It takes forever for her to type a cohesive text/post.
  
  She has wonderful support from her family. Her mom and sisters are looking after her, her house, and her children. So there's that, at least.
  
  I'm sorry I don't have more cheerful news. Believe me, if I haear any, I will pass it on ASAP.
  
  Carlene",nancy called me this morning she is still in the hospital the main hospital of memorial sloankettering on york ave and the ascites is building up at an alarming rate they are draining 34 liters off every day one of her doctors offered to refer her to the palliative care team he said she is not well enough for chemo nor does he believe she will be well enough in the foreseeable future she wants to talk with dr sabbantini before she makes a decision nancy told me to paraphrase our conversation and post the gist of it for everyone she appreciates all your prayers and good wishes she asked me how everyone was what was going on with linda and leesa and several others shes just so weak and under the influence as they say because of the heavy drugs they were giving her it takes forever for her to type a cohesive textpost she has wonderful support from her family her mom and sisters are looking after her her house and her children so theres that at least im sorry i dont have more cheerful news believe me if i haear any i will pass it on asap carlene
"I've been on carbo/taxol for the last 15 weeks, I've since have had a allergic reaction to carbo and have to have my last carbo treatment in the hospital and was informed it would take all day. Has anyone had a allergic reaction to carbo?
  Hoping all goes well,
  Joan",ive been on carbotaxol for the last 15 weeks ive since have had a allergic reaction to carbo and have to have my last carbo treatment in the hospital and was informed it would take all day has anyone had a allergic reaction to carbo hoping all goes well joan
what am i supposed to do when my mom is soooo depressed. She only had one chemo. She can handle her nausea. But the bone pain and the depression is what is getting to her. I try to stay so strong but i don't want her to suffer. I don't know what to say to her to make her feel any better. She keeps saying she wants to die. I have said everything along the lines of what about ur grandkids...blah blah. It is not working. I am just gonna try and act like this is normal and try and get her through another day. How many days till the side effects wear off a bit? I know it will be hard for her but if she can't stay strong mentally she cannot keep herself healthy. Just scared.,what am i supposed to do when my mom is soooo depressed she only had one chemo she can handle her nausea but the bone pain and the depression is what is getting to her i try to stay so strong but i dont want her to suffer i dont know what to say to her to make her feel any better she keeps saying she wants to die i have said everything along the lines of what about ur grandkidsblah blah it is not working i am just gonna try and act like this is normal and try and get her through another day how many days till the side effects wear off a bit i know it will be hard for her but if she cant stay strong mentally she cannot keep herself healthy just scared
"I got a text from Nancy today. She has been in the hospital since Saturday. I will try and see her tomorrow. She has been plagued with colitis, ascites, and pain. No bowel obstruction, per the x-rays. They drained 4 liters of fluid but she is still in lots of pain. Hopefully the drugs she just started on for the pain will help.
  
  She sent XOXOXO
  
  I am offering prayers for our beautiful sweet Nancy and hope you will add yours.
  
  Carlene",i got a text from nancy today she has been in the hospital since saturday i will try and see her tomorrow she has been plagued with colitis ascites and pain no bowel obstruction per the xrays they drained 4 liters of fluid but she is still in lots of pain hopefully the drugs she just started on for the pain will help she sent xoxoxo i am offering prayers for our beautiful sweet nancy and hope you will add yours carlene
"Hi, I am new to the board. May 1,2007 had a partial hysterectomy for Borderline Ovarian cancer, no chemo or radiation. On May 2,2011 I started cramping and spotting. I now am having a full menses cycle. Has this happened to anyone else? I must admit I am afraid. Before surgery I had horrible cramps and bleeding. I can understand the sloughing off of the uterine lining, It just has never happened before. I have also lost some weight recently, and the doctor said there are hormones in stored fat. Just asking if there is anyone else this has happened to. Any insight and information would be helpful!",hi i am new to the board may 12007 had a partial hysterectomy for borderline ovarian cancer no chemo or radiation on may 22011 i started cramping and spotting i now am having a full menses cycle has this happened to anyone else i must admit i am afraid before surgery i had horrible cramps and bleeding i can understand the sloughing off of the uterine lining it just has never happened before i have also lost some weight recently and the doctor said there are hormones in stored fat just asking if there is anyone else this has happened to any insight and information would be helpful
"Just a quick question. My mother just had her first chemo. It was Carboplatin and Taxol. She had this Mon. She was fine all of Tuesday. She went and had her Nulesta shot yesterday. She has not experienced any nausea or fatigue. She woke up this morning feeling like she had been in the boxing ring and lost. I knew you could suffer joint pain but it wasn't one of the definite side effects. Anyway, do you think she could ask doc for pain meds or something. It's a shame that she feels fine except this pain. Her abdomen is even throbbing.",just a quick question my mother just had her first chemo it was carboplatin and taxol she had this mon she was fine all of tuesday she went and had her nulesta shot yesterday she has not experienced any nausea or fatigue she woke up this morning feeling like she had been in the boxing ring and lost i knew you could suffer joint pain but it wasnt one of the definite side effects anyway do you think she could ask doc for pain meds or something its a shame that she feels fine except this pain her abdomen is even throbbing
Does anyone have any tips on what kind of diet is suitable for this cancer. My mother has porblems with certain things. Like any lettuce makes her sick. I know she has to eat small amounts but i want her to get protein. Last nite and had a sandwich with only a little lettuce and she was sick. Today rice and a little chicken and she is fine. What is the catch?,does anyone have any tips on what kind of diet is suitable for this cancer my mother has porblems with certain things like any lettuce makes her sick i know she has to eat small amounts but i want her to get protein last nite and had a sandwich with only a little lettuce and she was sick today rice and a little chicken and she is fine what is the catch
"So I was wondering what type of side effects people had and if you tolerated chemo relatively good or bad? I am curious because I am in carboplatin/ taxol mx and I am taking chemo really well for the most part. I go once every 3 weeks for 6 rounds total. I have 3 down and 3 to go. I did devlope acne and got tired after chemo for the first three days and of course the hairloss all over except for eyebrows and lashes. However, I don't get nasaua or vomiting or extremly fatigued. So I was just curious about other people. I am somehow getting paranoid that the chemo isn't working because I feel good. Everone says it helps that I am 31, but I can't believe it would help all that much, but maybe I am wrong.
  
  Any of your experiences would be helpful. Thanks teal sisters.",so i was wondering what type of side effects people had and if you tolerated chemo relatively good or bad i am curious because i am in carboplatin taxol mx and i am taking chemo really well for the most part i go once every 3 weeks for 6 rounds total i have 3 down and 3 to go i did devlope acne and got tired after chemo for the first three days and of course the hairloss all over except for eyebrows and lashes however i dont get nasaua or vomiting or extremly fatigued so i was just curious about other people i am somehow getting paranoid that the chemo isnt working because i feel good everone says it helps that i am 31 but i cant believe it would help all that much but maybe i am wrong any of your experiences would be helpful thanks teal sisters
"Hi Nancy, was wondering how you were doing? Hope you're feeling good and how are you doing on the Topotecan? I'm also on the Topotecan and have not been feeling well, I'm extremely tired because my blood counts keep going down. I'm on a treatment plan that is 1x a week, 3 weeks in a row, but don't know if that's going to be changed.
  
  Hope you are doing well.",hi nancy was wondering how you were doing hope youre feeling good and how are you doing on the topotecan im also on the topotecan and have not been feeling well im extremely tired because my blood counts keep going down im on a treatment plan that is 1x a week 3 weeks in a row but dont know if thats going to be changed hope you are doing well
"I started feeling bloated and fatigued a couple of months ago. For approximately one year my CA-125 has been 5 or 6. I was diagnosed stage 3b February 1, 2010. Before surgery my CA-125 was only 72. I had an optimal de-bulking surgery on that date. I completed six rounds of chemo: Taxotere and Carboplatin. Then I was given 9 months of Taxol maintenance. I was taken off the Taxol in November 2010. Now my CA-125 is on the rise along with previously mentioned side effects. My GYN/ONC feels a mass or possible scar tissue in my abdomen. I shall have the PET scan performed tomorrow morning. Currently my CA-125 is 8. I write this to show my fellow teal sisters that the CA-125 test is not always one's best indicator of ovarian cancer return. I pray my cancer has not returned, but I appreciate the due diligence of my GYN/ONC to make his prognosis. I know that I feel the same as I did before my surgery, but I must still have hope for a miracle. If it has returned I will fight the fight once again and my hope is that I will have the same dignity of my teal sisters who have fought this fight before me. Thank you in advance for your prayers. I am frightened.",i started feeling bloated and fatigued a couple of months ago for approximately one year my ca125 has been 5 or 6 i was diagnosed stage 3b february 1 2010 before surgery my ca125 was only 72 i had an optimal debulking surgery on that date i completed six rounds of chemo taxotere and carboplatin then i was given 9 months of taxol maintenance i was taken off the taxol in november 2010 now my ca125 is on the rise along with previously mentioned side effects my gynonc feels a mass or possible scar tissue in my abdomen i shall have the pet scan performed tomorrow morning currently my ca125 is 8 i write this to show my fellow teal sisters that the ca125 test is not always ones best indicator of ovarian cancer return i pray my cancer has not returned but i appreciate the due diligence of my gynonc to make his prognosis i know that i feel the same as i did before my surgery but i must still have hope for a miracle if it has returned i will fight the fight once again and my hope is that i will have the same dignity of my teal sisters who have fought this fight before me thank you in advance for your prayers i am frightened
"Mom was diagnosed with pneumonia 10 days ago.....that on top of the stress fracture in her back has made it quite the uncomfortable past two weeks....her lungs seem to have responded very well to the anti-biotics and except for the fatigue and weakness in her legs, she is doing better....Today was pretty rotten though....we had a 10:15 am appointment, saw the doctor, who is wonderful and then waited 3 hours for chemo.....""they were over scheduled""....how do you do that to people who are so ill? Mom started crying...after 2.5 hours....her back hurt and she was fried...I told her oncologist today that I lover her (I do) but that the system there really needs work.....If you know how many patients are coming in for chemo, and about how long the infusions take, is it that hard to at least get the wait down to at least an hour? I think 3.5 hours is inexcusable for a woman with advanced cancer, and a broken back, who is recovering from pneumonia.....I tell you what ladies, I think the doctors at MSK are wonderful, but they need a complete overhaul of their system.....anyway, Mom is safely tucked away in bed and I'm going to go steal half of one of her ativan...LOL",mom was diagnosed with pneumonia 10 days agothat on top of the stress fracture in her back has made it quite the uncomfortable past two weeksher lungs seem to have responded very well to the antibiotics and except for the fatigue and weakness in her legs she is doing bettertoday was pretty rotten thoughwe had a 1015 am appointment saw the doctor who is wonderful and then waited 3 hours for chemothey were over scheduledhow do you do that to people who are so ill mom started cryingafter 25 hoursher back hurt and she was friedi told her oncologist today that i lover her i do but that the system there really needs workif you know how many patients are coming in for chemo and about how long the infusions take is it that hard to at least get the wait down to at least an hour i think 35 hours is inexcusable for a woman with advanced cancer and a broken back who is recovering from pneumoniai tell you what ladies i think the doctors at msk are wonderful but they need a complete overhaul of their systemanyway mom is safely tucked away in bed and im going to go steal half of one of her ativanlol
"I am living with ovarian for the last three years. Had Taxol, Carbo,Doxil, and now they are suggesting Gemzar. Doxil made me horribly sick and the tumors worse, so stopped after only two courses, and now, after two months, am still recovering. Read on Gemzar that it may makes you even sicker: Kidney and lung infections, white blood cell deficit, swollen body, flu-like fever and more such goodies. I gfeel like I may die from the Chemo itself.How about refusing any more? Are people out there who live with cancer without chemo? I am 80 ys. old, feel good and am fully lucid.",i am living with ovarian for the last three years had taxol carbodoxil and now they are suggesting gemzar doxil made me horribly sick and the tumors worse so stopped after only two courses and now after two months am still recovering read on gemzar that it may makes you even sicker kidney and lung infections white blood cell deficit swollen body flulike fever and more such goodies i gfeel like i may die from the chemo itselfhow about refusing any more are people out there who live with cancer without chemo i am 80 ys old feel good and am fully lucid
Has anybody had acne as a side effect of chemo? I am breaking out under my chin and side of my head and low back. I never even had acne as a teenager. It is so annoying.,has anybody had acne as a side effect of chemo i am breaking out under my chin and side of my head and low back i never even had acne as a teenager it is so annoying
"This is a big topic on this discussion board but I did not see anything specific to my question. Diagnosed last June, Stage 3C. Did not have cancer surgery then because of condition I was in and had to have colon surgery/colostomy. Had 6 carb/taxol treatments and my CA 125 went consistently down until the last test when I went from 32 to 46. At the time I still had an open wound from my June surgery. Had hysterectomy/debulking, reversal of colosotomy and ileostomy put in and hernia repair in January. In April had one cycle of cabo/taxol and had second, and last one yesterday. CA125 has gone from 46 to 55 to 76 to 106. The oncologist said first couple of rises could be due to still healing inside and out from surgery. She could not explain the rise to 106. I had reduced dosage of taxol due to neuropathy in feet. Is that why chemo did not work well this time? My next test is not until May 16 with results due may 23. I am freaking out. I was so disappointed; my husband and I and even the doctor thought it would go down. Has anyone experienced this? What does this all mean?
  Thanks for any help you can give.
  
  Chris",this is a big topic on this discussion board but i did not see anything specific to my question diagnosed last june stage 3c did not have cancer surgery then because of condition i was in and had to have colon surgerycolostomy had 6 carbtaxol treatments and my ca 125 went consistently down until the last test when i went from 32 to 46 at the time i still had an open wound from my june surgery had hysterectomydebulking reversal of colosotomy and ileostomy put in and hernia repair in january in april had one cycle of cabotaxol and had second and last one yesterday ca125 has gone from 46 to 55 to 76 to 106 the oncologist said first couple of rises could be due to still healing inside and out from surgery she could not explain the rise to 106 i had reduced dosage of taxol due to neuropathy in feet is that why chemo did not work well this time my next test is not until may 16 with results due may 23 i am freaking out i was so disappointed my husband and i and even the doctor thought it would go down has anyone experienced this what does this all mean thanks for any help you can give chris
"Hi all,
  First of all my prayers with all the patients.
  My mother is 74 and diagnosed with ovarian cancer ( letf one, 8 cm tumor) 7 months ago. she had her womd removed 5 yaers before. The only symptom was her swollen left foot. After scan and blood test the doctor diagnosed a tumor but due to her age surgery was not an option. so
  the doctor started with 30 sessions of radiotherpy and 4 sessions of chemo. 2 months after these procedure another scan showed the tumor size reduce to 3.2 cm. But the real pain started and after 4 more chemo sessions, she lost more than 14 kilos of weight, lost appetite and very anxious. The stomach pain added too and she was using regular pain killers, But at the moment these pain killers were not effective and she is going to use more powerful ones.
  The doctor recommended 6-8 more chemotherpay but mentioned due to her weakness they can not continue immediately.",hi all first of all my prayers with all the patients my mother is 74 and diagnosed with ovarian cancer letf one 8 cm tumor 7 months ago she had her womd removed 5 yaers before the only symptom was her swollen left foot after scan and blood test the doctor diagnosed a tumor but due to her age surgery was not an option so the doctor started with 30 sessions of radiotherpy and 4 sessions of chemo 2 months after these procedure another scan showed the tumor size reduce to 32 cm but the real pain started and after 4 more chemo sessions she lost more than 14 kilos of weight lost appetite and very anxious the stomach pain added too and she was using regular pain killers but at the moment these pain killers were not effective and she is going to use more powerful ones the doctor recommended 68 more chemotherpay but mentioned due to her weakness they can not continue immediately
"The team of doctors decided I should change treatment. I will be starting Topo on Monday. 3 days in a row every 3 weeks. I also have significant ascites. I will talk to my doc about having it tapped out. Even though it doesn't look like alot I know there is a lot there. I am tall with a long torso...I'm sure I can carry alot without it really showing.
  
  Because of the ascites (I'm guessing) I can't eat much at all. I am either uncomfortable or I am in pain. GasX helps. I will be starting mostly liquids today. I am hoping the paracentesis will help with these symptoms.",the team of doctors decided i should change treatment i will be starting topo on monday 3 days in a row every 3 weeks i also have significant ascites i will talk to my doc about having it tapped out even though it doesnt look like alot i know there is a lot there i am tall with a long torsoim sure i can carry alot without it really showing because of the ascites im guessing i cant eat much at all i am either uncomfortable or i am in pain gasx helps i will be starting mostly liquids today i am hoping the paracentesis will help with these symptoms
"Been AWOL again and trying hard to catch up. I was supposed to start my new chemo (cisplatin/gemzar) last Tuesday BUT... I came down with strep throat and a horrible ear infection. I'm amazed that we all don't have more of these problems while our immune systems are taking such hits. I'm having such a hard time shaking this and I may have to miss next weeks chemo also.
  
  Oh/crossed off a ""Bucket List"" item yesterday.... no I didn't skydive, but I did jump on my grandchildren's trampoline.... much to their delight and amusement.
  
  Hugs to all my sisters.... Maria",been awol again and trying hard to catch up i was supposed to start my new chemo cisplatingemzar last tuesday but i came down with strep throat and a horrible ear infection im amazed that we all dont have more of these problems while our immune systems are taking such hits im having such a hard time shaking this and i may have to miss next weeks chemo also ohcrossed off a bucket list item yesterday no i didnt skydive but i did jump on my grandchildrens trampoline much to their delight and amusement hugs to all my sisters maria
"It's been about a month or so since I have been on this site and since then its been crappy, even though I am truly trying to stay positive. I about 3 weeks ago I had to have 2 emergency surgeries within 24 hours because my intestines kinked. I had a complication from the fist surgery. A stitch busted open inside me and I started to get septic. They rushed me to have the second surgery and said I need to have an iliostomy bag. I spent a week in ICU and a week in the regular hospital not to mention the many more scars on my stomach. I swear I never thought I would say this but I wish I just only had cancer still. My thoughts get eased my knowing that the bag is temporary, but it has changed my life. I can't do things that I want to do, even though they say I can. I am so self conscious and the thing is, it's just a plain old pain in the ****.
  
  I don't think my anti-depressent is working I am on sertraline. Has anybody been on them thru chemo and cancer treatment? I also take anitvan but it doesn't work I am asking my doctor to switch me to something else.
  
  Even though I have a support group at home I still feel lonely sometimes or I feel handicapped because I can't do all the things I used to and I am only 31. My fiance doesn't get home until 9 or 10 every night and even though he tells me I am beautiful and spends all his free time with me. I miss being able to go out and do things with him like I used to. He completely understands. He treats and takes care of me like no other. I feel blessed for that because he is not a douch bag. But I think what bothers me the most is that I feel like people treat me like I am sick, which I am, but I don't always want to feel that way, and the iliostomy bag is just a constant reminder of it.
  
  I hope and pray in 2.3 months when chemo is over the cancer goes away and doesn't come back and my iliostomy is reversed and my life goes back to normal again. I am still getting a tattoo when I am done with chemo on the underside of my left wrist with a teal ribbon that says under it Teal Warrior because you have to be to deal with this crap and it is a life changing experience for everyone involved.
  
  Anyways, I hope all of you have a blessed and lovely Easter. Take care and keep fighting.",its been about a month or so since i have been on this site and since then its been crappy even though i am truly trying to stay positive i about 3 weeks ago i had to have 2 emergency surgeries within 24 hours because my intestines kinked i had a complication from the fist surgery a stitch busted open inside me and i started to get septic they rushed me to have the second surgery and said i need to have an iliostomy bag i spent a week in icu and a week in the regular hospital not to mention the many more scars on my stomach i swear i never thought i would say this but i wish i just only had cancer still my thoughts get eased my knowing that the bag is temporary but it has changed my life i cant do things that i want to do even though they say i can i am so self conscious and the thing is its just a plain old pain in the i dont think my antidepressent is working i am on sertraline has anybody been on them thru chemo and cancer treatment i also take anitvan but it doesnt work i am asking my doctor to switch me to something else even though i have a support group at home i still feel lonely sometimes or i feel handicapped because i cant do all the things i used to and i am only 31 my fiance doesnt get home until 9 or 10 every night and even though he tells me i am beautiful and spends all his free time with me i miss being able to go out and do things with him like i used to he completely understands he treats and takes care of me like no other i feel blessed for that because he is not a douch bag but i think what bothers me the most is that i feel like people treat me like i am sick which i am but i dont always want to feel that way and the iliostomy bag is just a constant reminder of it i hope and pray in 23 months when chemo is over the cancer goes away and doesnt come back and my iliostomy is reversed and my life goes back to normal again i am still getting a tattoo when i am done with chemo on the underside of my left wrist with a teal ribbon that says under it teal warrior because you have to be to deal with this crap and it is a life changing experience for everyone involved anyways i hope all of you have a blessed and lovely easter take care and keep fighting
